id,parent_id,name,slug,picture
1,,Ilmu Komputer,ilmu-komputer,1713605456944-1713605456_ilmu-komputer.png
2,,Akuntansi dan Keuangan,akuntansi-dan-keuangan,1713605541026-Akuntansi dan Keuangan.png
3,1,Web Development,web-development,
4,1,Bahasa Pemrograman,bahasa-pemrograman,
5,1,Mobile Apps,mobile-apps,
6,1,Data Science,data-science,
7,1,Game Development,game-development,
8,1,Database,database,
9,1,Software Testing,software-testing,
10,1,Development Tools,development-tools,
11,1,IT & Certification,it-certification,
12,1,Network & Security,network-security,
13,1,Hardware,hardware,
14,1,Sistem Operasi,sistem-operasi,
15,2,Akuntansi & Pembukuan,akuntasi-pembukuan,
16,2,Compliance,compliance,
17,2,Cryptocurrency & Blockchain,cryptocurrency-blockchain,
18,2,Ekonomi,ekonomi,
19,2,Keuangan,keuangan,
20,2,Investasi & Trading,investasi-trading,
21,2,Finance Management Tools,finance-management-tools,
22,2,Pajak,pajak,
27,,Desain,desain,1713611442900-1713611442_Desain.png
28,27,Desain Web,desain-web,
29,27,Desain Grafis,desain-grafis,
30,27,Game Design,game-design,
31,27,UI/UX,ui-ux,
32,27,Rancangan Desain,rancangan-desain,
33,27,3D & Animation,3d-animation,
34,27,Fashion,fashion,
35,27,Desain Arsitektur,desain-arsitektur,
36,,Hobi dan Lifestyle,hobi-dan-lifestyle,1713614745134-hobi.png
37,36,Musik,musik,
38,36,Robotik,robotik,
39,36,Ternak dan Budidaya,ternak-budidaya,
40,36,Arts and Crafts,art-and-crafts,
41,36,Food & Baverage,food-baverage,
42,36,Beauty & Makeup,beauty-makeup,
43,36,Travel,travel,
44,36,Gaming,gaming,
45,36,Home Improvement,home-improvement,
46,36,Pet Care & Training,pet-care-training,
47,,Pemasaran,pemasaran,1713614910158-pemasaran.png
48,47,Digital Marketing,digital-marketing,
49,47,Search Engine Optimization,search-engine-optimization,
50,47,Social Media Marketing,social-media-marketing,
51,47,Branding,branding,
52,47,Dasar-dasar Pemasaran,dasar-dasar-pemasaran,
53,47,Analythic and Automation,analythic-and-automation,
54,47,Public Relations,public-relations,
55,47,Iklan,iklan,
56,47,Video & Mobile Marketing,video-mobile-marketing,
57,47,Pemasaran Konten,pemasaran-konten,
58,47,Growth Hacking,growth-hacking,
59,47,Pemasaran Afiliasi,pemasaran-afiliasi,
60,47,Pemasaran Produk,pemasaran-produk,
61,47,Copywriting,copywriting,
62,,Bisnis,bisnis,1713615286348-bisnis.png
63,,Akademik,akademik,1713615303341-akademik.png
64,,Produktivitas Kantor,produktivitas-kantor,1713615330334-produktivitas-kantor.png
65,,Personal Development,personal-development,1713615348804-pd.png
66,,Video & Fotografi,video-and-fotografi,1713615370692-video-fotografi.png
67,,Teknik,teknik,1713615384509-teknik.png
68,62,Finance,finance,
69,62,Entrepreneurship,entrepreneurship,
70,62,Communications,communications,
71,62,Sales,sales,
72,62,Management,management,
73,62,Operations,operations,
74,62,Project Management,project-management,
75,62,Business Law,business-law,
76,62,Human Resources,human-resources,
77,62,Industry,industry,
78,62,Media,media,
79,62,Real Estate,real-estate,
80,62,Online Shop,online-shop,
81,63,Engineering,engineering,
82,63,Humanities,humanities,
83,63,Math,math,
84,63,Online Education,online-education,
85,63,Bahasa,bahasa,
86,63,Teacher Training,teacher-training,
87,63,Test Preparation,test-preparation,
88,64,Microsoft,microsoft,
89,64,Apple,apple,
90,64,Google,google,
91,64,SAP,sap,
92,64,Oracle,oracle,
93,65,Personal Transformation,personal-transformation,
94,65,Productivity,productivity,
95,65,Leadership,leadership,
96,65,Personal Finance,personal-finance,
97,65,Career Development,career-development,
98,65,Parenting & Relationship,parenting-relationship,
99,65,Happiness,happiness,
100,65,Religion & Spirituality,religion-spirituality,
101,65,Creativity,creativity,
102,65,Influence,influence,
103,65,Self Esteem,self-esteem,
104,65,Stress Management,stress-management,
105,65,Memory & Study Skills,memory-study-skills,
106,65,Motivation,motivation,
107,66,Digital Photography,digital-photography,
108,66,Photography Fundamental,photography-fundamental,
109,66,Portraits,portraits,
110,66,Photography Tools,photography-tools,
111,66,Commercial Photography,commercial-photography,
112,66,Video Design,video-design,
113,67,Mesin & Otomotif,mesin-otomotif,
114,67,Listrik & Elektronika,listrik-elektronika,
115,67,Sipil & Pembangunan,sipil-pembangunan,
116,67,Las & Metal,las-metal,
117,67,Pabrik & Industri,pabrik-industri,
